t_secs,rss_kb,vmhwm_kb,fds,threads,quic_modeb_connections,quic_modeb_streams_active,quic_modeb_datagrams_dropped_total,panic_total
4170.766,17944,17944,11,9,0,4,0,0
4185.769,17944,17944,11,9,0,4,0,0
4200.772,17944,17944,11,9,0,4,0,0
4215.773,17944,17944,11,9,0,4,0,0
4230.774,17944,17944,11,9,0,4,0,0
4245.775,17944,17944,11,9,0,4,0,0
4260.777,17944,17944,11,9,0,4,0,0
4275.779,17944,17944,11,9,0,4,0,0
4290.781,17944,17944,11,9,0,4,0,0
4305.784,17944,17944,11,9,0,4,0,0
4320.786,17944,17944,11,9,0,4,0,0
4335.788,17944,17944,11,9,0,4,0,0
4350.791,17944,17944,11,9,0,4,0,0
4365.798,17944,17944,11,9,0,4,0,0
4380.801,17944,17944,11,9,0,4,0,0
4395.803,17944,17944,11,9,0,4,0,0
4410.808,17944,17944,11,9,0,4,0,0
4425.811,17944,17944,11,9,0,4,0,0
4440.812,17944,17944,11,9,0,4,0,0
4455.814,17944,17944,11,9,0,4,0,0
4470.816,17944,17944,11,9,0,4,0,0
4485.818,17944,17944,11,9,0,4,0,0
4500.825,17944,17944,11,9,0,4,0,0
4515.827,17944,17944,11,9,0,4,0,0
4530.829,17944,17944,11,9,0,4,0,0
4545.833,17944,17944,11,9,0,4,0,0
4560.834,17944,17944,11,9,0,4,0,0
4575.835,17944,17944,11,9,0,4,0,0
4590.839,17944,17944,11,9,0,4,0,0
4605.843,17944,17944,11,9,0,4,0,0
4620.847,17944,17944,11,9,0,4,0,0
4635.848,17944,17944,11,9,0,4,0,0
4650.850,17944,17944,11,9,0,4,0,0
4665.852,17944,17944,11,9,0,4,0,0
4680.855,17944,17944,11,9,0,4,0,0
4695.859,17944,17944,11,9,0,4,0,0
4710.862,17944,17944,11,9,0,4,0,0
4725.865,17944,17944,11,9,0,4,0,0
4740.866,17944,17944,11,9,0,4,0,0
4755.869,17944,17944,11,9,0,4,0,0
4770.872,17944,17944,11,9,0,4,0,0
4785.873,17944,17944,11,9,0,4,0,0
4800.875,17944,17944,11,9,0,4,0,0
4815.885,17944,17944,11,9,0,4,0,0
4830.887,17944,17944,11,9,0,4,0,0
4845.890,17944,17944,11,9,0,4,0,0
4860.892,17944,17944,11,9,0,4,0,0
4875.896,17944,17944,11,9,0,4,0,0
4890.898,17944,17944,11,9,0,4,0,0
4905.900,17944,17944,11,9,0,4,0,0
4920.902,17944,17944,11,9,0,4,0,0
4935.903,17944,17944,11,9,0,4,0,0
4950.905,17944,17944,11,9,0,4,0,0
4965.907,17944,17944,11,9,0,4,0,0
4980.909,17944,17944,11,9,0,4,0,0
4995.910,17944,17944,11,9,0,4,0,0
5010.912,17944,17944,11,9,0,4,0,0
5025.915,17944,17944,11,9,0,4,0,0
5040.924,17944,17944,11,9,0,4,0,0
5055.925,17944,17944,11,9,0,4,0,0
5070.927,17944,17944,11,9,0,4,0,0
5085.933,17944,17944,11,9,0,4,0,0
5100.937,17944,17944,11,9,0,4,0,0
5115.942,17944,17944,11,9,0,4,0,0
5130.944,17944,17944,11,9,0,4,0,0
5145.946,17944,17944,11,9,0,4,0,0
5160.949,17944,17944,11,9,0,4,0,0
5175.951,17944,17944,11,9,0,4,0,0
5190.955,17944,17944,11,9,0,4,0,0
5205.959,17944,17944,11,9,0,4,0,0
5220.961,17944,17944,11,9,0,4,0,0
5235.963,17944,17944,11,9,0,4,0,0
5250.964,17944,17944,11,9,0,4,0,0
5265.968,17944,17944,11,9,0,4,0,0
5280.969,17944,17944,11,9,0,4,0,0
5295.975,17944,17944,11,9,0,4,0,0
5310.976,17944,17944,11,9,0,4,0,0
5325.979,17944,17944,11,9,0,4,0,0
5340.981,17944,17944,11,9,0,4,0,0
5355.985,17944,17944,11,9,0,4,0,0
5370.986,17944,17944,11,9,0,4,0,0
5385.988,17944,17944,11,9,0,4,0,0
5400.002,17944,17944,11,9,0,4,0,0
