t_secs,rss_kb,vmhwm_kb,fds,threads,quic_modeb_connections,quic_modeb_streams_active,quic_modeb_datagrams_dropped_total,panic_total
14016.296,32940,36708,23,9,11,0,0,0
14046.304,33384,36708,23,9,9,0,0,0
14076.324,32448,36708,22,9,11,0,0,0
14106.341,33212,36708,23,9,11,0,0,0
14136.354,33780,36708,19,9,8,4,0,0
14166.374,33728,36708,21,9,10,4,0,0
14196.383,33452,36708,20,9,8,4,0,0
14226.412,33688,36708,24,9,12,0,0,0
14256.420,32428,36708,23,9,11,4,0,0
14286.426,32196,36708,22,9,10,4,0,0
14316.442,32324,36708,22,9,11,4,0,0
14346.447,33820,36708,22,9,10,3,0,0
14376.460,32448,36708,18,9,7,4,0,0
14400.004,32640,36708,24,9,11,0,0,0
